customerid,recency,frequency,monetary,avg_order_value,monetary_per_day,is_high_value,cluster
12373,310.0,3,1252.2500000000002,417.41666666666674,4.026527331189711,0,1
12374,24.0,3,3292.1500000000005,1097.3833333333334,131.68600000000004,0,1
12375,10.0,2,755.0,377.5,68.63636363636364,0,1
12376,389.0,2,383.15000000000003,191.57500000000002,0.9824358974358975,0,1
12377,314.0,4,4814.439999999997,1203.6099999999992,15.283936507936499,1,0
12378,129.0,2,9424.939999999997,4712.469999999998,72.49953846153844,1,0
12379,81.0,4,2247.460000000001,561.8650000000002,27.408048780487817,0,1
12380,21.0,9,11147.11,1238.5677777777778,506.6868181818182,1,0
12381,4.0,3,2949.619999999998,983.206666666666,589.9239999999996,0,1
12383,184.0,5,3257.119999999998,651.4239999999996,17.606054054054045,0,1
12384,28.0,2,850.5400000000001,425.27000000000004,29.328965517241382,0,1
12385,378.0,1,1668.4,1668.4,4.402110817941953,0,1
12386,337.0,2,803.8,401.9,2.3781065088757396,0,1
12387,414.0,1,143.94000000000003,143.94000000000003,0.346843373493976,0,1
12388,15.0,8,6681.769999999991,835.2212499999989,417.61062499999946,1,0
12389,402.0,3,1433.3300000000002,477.7766666666667,3.5566501240694794,0,1
12390,79.0,1,1009.6800000000003,1009.6800000000003,12.621000000000004,0,1
12391,21.0,6,3164.499999999989,527.4166666666648,143.84090909090858,0,1
12392,590.0,1,234.75000000000003,234.75000000000003,0.3972081218274112,0,1
12393,71.0,6,3982.0499999999984,663.6749999999997,55.30624999999998,1,0
12394,63.0,2,2160.96,1080.48,33.765,0,1
12395,18.0,15,6923.799999999994,461.58666666666625,364.4105263157891,1,0
12396,673.0,1,931.4300000000004,931.4300000000004,1.3819436201780422,0,1
12397,35.0,2,4429.799999999998,2214.899999999999,123.04999999999995,1,0
12398,45.0,1,2871.320000000001,2871.320000000001,62.42000000000002,0,1
12399,118.0,7,2875.9500000000035,410.8500000000005,24.167647058823558,0,1
12400,413.0,1,205.25,205.25,0.49577294685990336,0,1
12401,302.0,1,138.6,138.6,0.4574257425742574,0,1
12402,322.0,6,1332.5000000000005,222.0833333333334,4.125386996904026,0,1
12403,49.0,2,1339.0600000000002,669.5300000000001,26.781200000000002,0,1
12404,681.0,1,63.24,63.24,0.09272727272727273,0,1
12405,148.0,1,2780.78,2780.78,18.66295302013423,0,1
12406,21.0,5,9805.659999999998,1961.1319999999996,445.7118181818181,1,0
12407,49.0,5,3014.2400000000007,602.8480000000002,60.28480000000001,0,1
12408,32.0,8,6524.3200000000015,815.5400000000002,197.7066666666667,1,0
12409,78.0,7,34491.95999999999,4927.422857142856,436.60708860759485,1,-1
12410,308.0,3,1307.04,435.68,4.229902912621359,0,1
12411,409.0,1,346.9,346.9,0.8460975609756097,0,1
12412,74.0,6,3547.8100000000036,591.3016666666673,47.30413333333338,1,0
12413,66.0,4,1557.55,389.3875,23.247014925373133,0,1
12414,216.0,6,1234.82,205.8033333333333,5.690414746543778,0,1
12415,23.0,27,268672.89999999973,9950.848148148138,11194.704166666656,1,-1
12416,656.0,1,202.55999999999997,202.55999999999997,0.30831050228310497,0,1
12417,2.0,20,9224.510000000002,461.2255000000001,3074.8366666666675,1,0
12418,112.0,4,2689.7800000000007,672.4450000000002,23.80336283185841,0,1
12419,385.0,2,391.01,195.505,1.012979274611399,0,1
12420,63.0,1,1200.7800000000002,1200.7800000000002,18.762187500000003,0,1
12421,15.0,6,1513.6399999999999,252.2733333333333,94.60249999999999,0,1
12422,95.0,14,5381.359999999996,384.38285714285684,56.05583333333329,1,0
12423,0.0,10,3935.6999999999994,393.56999999999994,3935.6999999999994,1,0
12424,162.0,4,5100.990000000006,1275.2475000000015,31.29441717791415,1,0
12425,77.0,2,2518.61,1259.305,32.28987179487179,0,1
12426,194.0,2,1711.940000000001,855.9700000000005,8.779179487179492,0,1
12427,21.0,3,1399.6000000000001,466.53333333333336,63.618181818181824,0,1
12428,25.0,9,13912.919999999996,1545.8799999999997,535.1123076923076,1,0
12429,8.0,8,9230.809999999994,1153.8512499999993,1025.645555555555,1,0
12430,42.0,1,432.79999999999995,432.79999999999995,10.065116279069766,0,1
12431,35.0,25,16417.16999999999,656.6867999999996,456.03249999999974,1,0
12432,42.0,4,8718.640000000007,2179.6600000000017,202.759069767442,1,0
12433,0.0,10,30170.010000000053,3017.001000000005,30170.010000000053,1,-1
12434,84.0,3,1909.57,636.5233333333333,22.465529411764706,0,1
12435,79.0,6,21755.82000000001,3625.9700000000016,271.94775000000016,1,0
12436,99.0,1,858.02,858.02,8.5802,0,1
12437,1.0,38,15729.810000000003,413.9423684210527,7864.905000000002,1,0
12438,13.0,2,4933.700000000001,2466.8500000000004,352.4071428571429,1,0
12439,682.0,2,1142.8800000000006,571.4400000000003,1.6733235724743785,0,1
12440,461.0,2,739.1999999999999,369.59999999999997,1.5999999999999999,0,1
12441,366.0,1,311.09999999999997,311.09999999999997,0.847683923705722,0,1
12442,2.0,1,288.12000000000006,288.12000000000006,96.04000000000002,0,1
12443,731.0,1,365.31000000000006,365.31000000000006,0.4990573770491804,0,1
12444,20.0,5,8170.919999999998,1634.1839999999997,389.0914285714285,1,0
12445,21.0,2,456.37999999999994,228.18999999999997,20.744545454545452,0,1
12446,57.0,1,2004.62,2004.62,34.562413793103445,0,1
12447,242.0,1,862.9799999999996,862.9799999999996,3.551358024691356,0,1
12448,43.0,1,730.9,730.9,16.611363636363635,0,1
12449,21.0,5,7871.179999999995,1574.235999999999,357.78090909090884,1,0
12450,155.0,5,886.0800000000002,177.21600000000004,5.680000000000001,0,1
12451,10.0,8,21625.400000000005,2703.1750000000006,1965.945454545455,1,0
12452,16.0,1,697.1400000000002,697.1400000000002,41.00823529411766,0,1
12453,133.0,1,1414.1799999999998,1414.1799999999998,10.553582089552238,0,1
12454,55.0,4,19988.120000000003,4997.030000000001,356.9307142857143,1,-1
12455,72.0,9,8062.810000000004,895.8677777777782,110.44945205479458,1,0
12456,43.0,3,5162.079999999999,1720.693333333333,117.31999999999998,1,0
12457,65.0,7,4599.14,657.0200000000001,69.6839393939394,1,0
12458,70.0,4,2289.89,572.4725,32.251971830985916,0,1
12459,604.0,1,398.3599999999999,398.3599999999999,0.6584462809917354,0,1
12460,455.0,1,296.65,296.65,0.650548245614035,0,1
12461,154.0,1,1253.76,1253.76,8.088774193548387,0,1
12462,18.0,2,1875.1800000000012,937.5900000000006,98.69368421052638,0,1
12463,52.0,4,2401.56,600.39,45.312452830188676,0,1
12464,9.0,8,1914.0999999999995,239.26249999999993,191.40999999999994,0,1
12465,16.0,2,1364.3800000000006,682.1900000000003,80.25764705882357,0,1
12466,681.0,1,56.73,56.73,0.08318181818181818,0,1
12467,422.0,1,132.8,132.8,0.31394799054373523,0,1
12468,187.0,5,3896.28,779.2560000000001,20.724893617021277,1,0
12469,522.0,2,3070.5399999999986,1535.2699999999993,5.871013384321221,0,1
12470,689.0,1,211.94999999999996,211.94999999999996,0.3071739130434782,0,1
12471,1.0,75,52649.64000000009,701.9952000000012,26324.820000000043,1,-1
12472,31.0,19,21039.400000000016,1107.336842105264,657.4812500000005,1,0
12473,28.0,5,7280.100000000002,1456.0200000000004,251.03793103448282,1,0
12474,16.0,29,18004.83999999998,620.8565517241371,1059.1082352941164,1,0
12475,53.0,2,1735.0199999999998,867.5099999999999,32.129999999999995,0,1
12476,15.0,18,18218.329999999954,1012.1294444444419,1138.6456249999972,1,0
12477,22.0,9,33496.10999999996,3721.7899999999954,1456.3526086956504,1,0
12478,3.0,1,1091.9800000000002,1091.9800000000002,272.99500000000006,0,1
12479,10.0,1,946.4000000000001,946.4000000000001,86.03636363636365,0,1
12480,27.0,7,7720.480000000005,1102.925714285715,275.73142857142875,1,0
12481,22.0,14,16037.329999999978,1145.5235714285698,697.2752173913034,1,0
12482,575.0,29,23691.399999999983,816.9448275862063,41.13090277777775,1,0
12483,16.0,19,5980.159999999997,314.7452631578946,351.77411764705863,1,0
12484,34.0,9,9496.420000000011,1055.157777777779,271.32628571428603,1,0
12485,528.0,1,708.1000000000001,708.1000000000001,1.3385633270321364,0,1
12486,431.0,1,917.2800000000002,917.2800000000002,2.123333333333334,0,1
12487,730.0,1,285.29999999999995,285.29999999999995,0.39028727770177835,0,1
12488,9.0,3,2489.32,829.7733333333334,248.93200000000002,0,1
12489,335.0,1,597.86,597.86,1.7793452380952381,0,1
12490,4.0,20,13624.570000000014,681.2285000000007,2724.914000000003,1,0
12491,38.0,1,848.8000000000003,848.8000000000003,21.764102564102572,0,1
12492,62.0,3,834.4200000000001,278.14000000000004,13.244761904761907,0,1
12493,165.0,2,831.4799999999998,415.7399999999999,5.008915662650601,0,1
12494,15.0,9,2647.369999999998,294.152222222222,165.46062499999988,0,1
12495,640.0,1,277.40000000000003,277.40000000000003,0.43276131045241817,0,1
12496,619.0,2,45.34,22.67,0.07312903225806452,0,1
12497,81.0,3,6949.6,2316.5333333333333,84.75121951219512,1,0
12498,20.0,3,699.4000000000001,233.13333333333335,33.30476190476191,0,1
12499,559.0,1,357.72,357.72,0.6387857142857143,0,1
12500,22.0,18,9619.030000000004,534.3905555555558,418.2186956521741,1,0
12501,336.0,1,4050.7799999999966,4050.7799999999966,12.020118694362008,1,0
12502,95.0,5,5991.740000000003,1198.3480000000006,62.41395833333337,1,0
12503,583.0,1,896.0,896.0,1.5342465753424657,0,1
12504,17.0,4,1117.1000000000001,279.27500000000003,62.06111111111112,0,1
12505,408.0,1,787.1999999999997,787.1999999999997,1.9246943765281166,0,1
12506,232.0,1,146.99999999999997,146.99999999999997,0.6309012875536479,0,1
12507,133.0,4,2560.8700000000003,640.2175000000001,19.110970149253735,0,1
12508,25.0,2,795.7600000000001,397.88000000000005,30.606153846153852,0,1
12509,283.0,1,317.0,317.0,1.1161971830985915,0,1
12510,142.0,9,5264.589999999998,584.9544444444442,36.815314685314675,1,0
12511,428.0,1,3084.0199999999986,3084.0199999999986,7.188857808857805,0,1
12512,65.0,2,264.36,132.18,4.005454545454546,0,1
12513,112.0,1,1116.58,1116.58,9.881238938053096,0,1
12514,266.0,2,2615.4400000000005,1307.7200000000003,9.795655430711612,0,1
12515,352.0,1,557.4,557.4,1.5790368271954673,0,1
12516,77.0,4,3474.6800000000003,868.6700000000001,44.54717948717949,1,0
12517,27.0,4,4603.200000000001,1150.8000000000002,164.40000000000003,1,0
12518,0.0,5,3681.7799999999997,736.356,3681.7799999999997,1,0
12519,63.0,2,903.3800000000002,451.6900000000001,14.115312500000003,0,1
12520,78.0,5,4692.52,938.5040000000001,59.398987341772155,1,0
12521,142.0,1,1091.3599999999994,1091.3599999999994,7.631888111888108,0,1
12522,38.0,2,313.44,156.72,8.036923076923078,0,1
12523,18.0,23,5710.119999999995,248.26608695652155,300.53263157894713,1,0
12524,8.0,17,13739.829999999978,808.2252941176457,1526.6477777777754,1,0
12525,497.0,3,883.7299999999999,294.57666666666665,1.7745582329317267,0,1
12526,0.0,3,2345.3200000000006,781.7733333333335,2345.3200000000006,0,1
12527,81.0,5,1048.2200000000003,209.64400000000006,12.78317073170732,0,1
12528,8.0,6,3290.9600000000005,548.4933333333335,365.6622222222223,0,1
12529,527.0,1,316.48,316.48,0.5993939393939395,0,1
12530,59.0,9,4881.540000000004,542.3933333333338,81.35900000000007,1,0
12531,14.0,2,1896.4200000000003,948.2100000000002,126.42800000000003,0,1
12532,29.0,1,627.66,627.66,20.922,0,1
12533,627.0,2,1223.8899999999999,611.9449999999999,1.9488694267515922,0,1
12534,130.0,1,1962.3600000000004,1962.3600000000004,14.979847328244277,0,1
12535,91.0,2,1432.6999999999998,716.3499999999999,15.57282608695652,0,1
12536,42.0,3,25203.659999999996,8401.22,586.1316279069766,1,-1
12537,408.0,1,612.94,612.94,1.498630806845966,0,1
12538,28.0,2,1004.3999999999999,502.19999999999993,34.634482758620685,0,1
12539,21.0,7,16755.100000000042,2393.5857142857203,761.5954545454565,1,0
12540,19.0,32,30830.7300000001,963.4603125000032,1541.5365000000052,1,0
12541,29.0,3,1682.3600000000008,560.786666666667,56.07866666666669,0,1
12542,483.0,2,481.87999999999994,240.93999999999997,0.9956198347107437,0,1
12543,447.0,1,840.25,840.25,1.8755580357142858,0,1
12544,35.0,1,633.4000000000001,633.4000000000001,17.59444444444445,0,1
12545,74.0,2,1664.7799999999997,832.3899999999999,22.197066666666665,0,1
12546,46.0,2,2043.0,1021.5,43.46808510638298,0,1
12547,197.0,3,451.37999999999994,150.45999999999998,2.2796969696969693,0,1
12548,165.0,1,134.4,134.4,0.8096385542168675,0,1
12549,575.0,5,1570.6799999999998,314.13599999999997,2.7268749999999997,0,1
12550,78.0,1,1649.6599999999999,1649.6599999999999,20.881772151898733,0,1
12551,357.0,1,336.0,336.0,0.9385474860335196,0,1
12552,39.0,1,635.6400000000001,635.6400000000001,15.891000000000002,0,1
12553,7.0,12,7383.0300000000125,615.2525000000011,922.8787500000016,1,0
12554,448.0,1,384.49999999999994,384.49999999999994,0.8563474387527839,0,1
12555,681.0,1,129.23,129.23,0.18948680351906158,0,1
12556,49.0,2,1199.1200000000008,599.5600000000004,23.982400000000016,0,1
12557,15.0,8,30087.10000000001,3760.887500000001,1880.4437500000006,1,0
12558,7.0,1,539.92,539.92,67.49,0,1
12559,310.0,2,1051.42,525.71,3.3807717041800647,0,1
12560,4.0,2,3836.0200000000013,1918.0100000000007,767.2040000000003,1,0
12561,302.0,1,477.69999999999993,477.69999999999993,1.5765676567656763,0,1
12562,7.0,9,7812.660000000006,868.0733333333341,976.5825000000008,1,0
12563,408.0,1,221.24,221.24,0.5409290953545233,0,1
12564,260.0,1,805.7999999999998,805.7999999999998,3.08735632183908,0,1
12565,288.0,1,291.84,291.84,1.009826989619377,0,1
12566,85.0,1,595.3,595.3,6.9220930232558135,0,1
12567,22.0,15,19350.75999999995,1290.0506666666633,841.3373913043457,1,0
12568,644.0,1,52.0,52.0,0.08062015503875969,0,1
12569,1.0,32,6305.379999999997,197.04312499999992,3152.6899999999987,1,0
12570,681.0,1,77.52,77.52,0.11366568914956011,0,1
12571,39.0,2,1039.2200000000007,519.6100000000004,25.980500000000017,0,1
12572,8.0,2,1824.8399999999995,912.4199999999997,202.75999999999993,0,1
12573,226.0,5,877.9499999999998,175.58999999999997,3.8676211453744487,0,1
12574,315.0,1,364.90000000000003,364.90000000000003,1.1547468354430381,0,1
12575,456.0,2,568.8199999999999,284.40999999999997,1.244682713347921,0,1
12576,35.0,8,3378.55,422.31875,93.84861111111111,0,1
12577,34.0,8,2243.6999999999985,280.4624999999998,64.10571428571424,0,1
12578,20.0,4,6428.959999999994,1607.2399999999984,306.14095238095206,1,0
12579,77.0,1,772.8399999999998,772.8399999999998,9.908205128205125,0,1
12580,246.0,2,1342.6000000000001,671.3000000000001,5.435627530364373,0,1
12581,39.0,1,359.4199999999999,359.4199999999999,8.985499999999998,0,1
12582,238.0,4,2171.7599999999993,542.9399999999998,9.08686192468619,0,1
12583,2.0,27,19198.960000000006,711.0725925925929,6399.6533333333355,1,0
12584,3.0,9,4508.300000000001,500.92222222222233,1127.0750000000003,1,0
12585,233.0,2,3648.2000000000003,1824.1000000000001,15.590598290598292,1,0
12586,16.0,4,2259.61,564.9025,132.91823529411766,0,1
12587,7.0,1,208.0,208.0,26.0,0,1
12588,38.0,3,893.6799999999998,297.89333333333326,22.91487179487179,0,1
12589,28.0,7,4925.340000000001,703.6200000000001,169.83931034482762,1,0
12590,210.0,1,18682.52,18682.52,88.54274881516588,1,-1
12591,316.0,3,1483.8000000000004,494.60000000000014,4.680757097791799,0,1
12592,91.0,5,2840.260000000001,568.0520000000002,30.87239130434784,0,1
12593,108.0,3,764.1999999999998,254.73333333333326,7.0110091743119245,0,1
12594,37.0,14,8098.330000000011,578.4521428571436,213.11394736842135,1,0
12595,504.0,1,281.02000000000004,281.02000000000004,0.5564752475247525,0,1
12596,50.0,2,900.5399999999996,450.2699999999998,17.65764705882352,0,1
12597,18.0,4,6390.439999999996,1597.609999999999,336.33894736842086,1,0
12598,9.0,10,6999.170000000007,699.9170000000007,699.9170000000007,1,0
12599,28.0,13,2915.299999999998,224.25384615384598,100.52758620689647,0,1
12600,28.0,21,6701.460000000002,319.11714285714294,231.08482758620696,1,0
12601,189.0,6,1060.3200000000002,176.72000000000003,5.5806315789473695,0,1
12602,58.0,1,306.24,306.24,5.190508474576271,0,1
12603,21.0,1,1226.3999999999999,1226.3999999999999,55.74545454545454,0,1
12604,78.0,2,472.3600000000001,236.18000000000006,5.979240506329115,0,1
12605,375.0,3,1124.9499999999996,374.9833333333332,2.991888297872339,0,1
12606,681.0,1,21.0,21.0,0.030791788856304986,0,1
12607,59.0,1,3159.0200000000013,3159.0200000000013,52.65033333333336,0,1
12608,404.0,1,415.7900000000001,415.7900000000001,1.0266419753086422,0,1
12609,77.0,9,3986.710000000001,442.9677777777779,51.11166666666668,1,0
12610,22.0,4,3495.08,873.77,151.96,1,0
12611,51.0,1,2386.639999999999,2386.639999999999,45.89692307692306,0,1
12612,73.0,1,1336.08,1336.08,18.055135135135135,0,1
12613,56.0,9,9369.750000000013,1041.0833333333348,164.38157894736864,1,0
12614,277.0,1,631.1999999999998,631.1999999999998,2.2705035971223015,0,1
12615,1.0,8,7456.169999999998,932.0212499999998,3728.084999999999,1,0
12616,94.0,3,1664.3999999999992,554.7999999999997,17.519999999999992,0,1
12617,28.0,1,705.9599999999999,705.9599999999999,24.343448275862066,0,1
12618,21.0,1,274.61999999999995,274.61999999999995,12.48272727272727,0,1
12619,15.0,10,6810.619999999988,681.0619999999988,425.66374999999925,1,0
12620,14.0,3,2606.82,868.94,173.788,0,1
12621,1.0,35,34508.870000000046,985.9677142857156,17254.435000000023,1,-1
12622,231.0,1,324.2,324.2,1.3974137931034483,0,1
12623,275.0,7,3584.9400000000014,512.134285714286,12.988913043478266,1,0
12624,105.0,2,1138.2599999999998,569.1299999999999,10.738301886792451,0,1
12625,211.0,4,7092.699999999996,1773.174999999999,33.45613207547168,1,0
12626,22.0,9,11908.95999999997,1323.2177777777745,517.7808695652161,1,0
12627,10.0,6,8165.060000000003,1360.843333333334,742.2781818181821,1,0
12628,3.0,3,1464.9199999999992,488.3066666666664,366.2299999999998,0,1
12629,385.0,2,1198.22,599.11,3.1041968911917097,0,1
12630,9.0,2,2061.7599999999993,1030.8799999999997,206.17599999999993,0,1
12631,56.0,6,3802.070000000001,633.6783333333335,66.70298245614038,1,0
12632,520.0,2,714.88,357.44,1.372130518234165,0,1
12633,58.0,7,7086.140000000007,1012.3057142857152,120.10406779661028,1,0
12634,547.0,1,360.0,360.0,0.656934306569343,0,1
12635,89.0,4,4133.590000000005,1033.3975000000012,45.92877777777783,1,0
12637,66.0,12,13890.709999999957,1157.559166666663,207.32402985074563,1,0
12638,32.0,2,1193.18,596.59,36.156969696969696,0,1
12639,238.0,3,1438.4700000000003,479.49000000000007,6.018702928870294,0,1
12640,23.0,3,1989.1600000000003,663.0533333333334,82.88166666666667,0,1
12641,114.0,1,291.8,291.8,2.537391304347826,0,1
12642,24.0,3,1810.5199999999993,603.5066666666664,72.42079999999997,0,1
12643,127.0,11,10845.459999999995,985.9509090909087,84.73015624999996,1,0
12644,129.0,4,2378.4000000000005,594.6000000000001,18.29538461538462,0,1
12645,33.0,8,4846.479999999999,605.8099999999998,142.54352941176467,1,0
12646,4.0,2,2693.9399999999996,1346.9699999999998,538.7879999999999,0,1
12647,21.0,35,17256.369999999988,493.0391428571425,784.380454545454,1,0
12648,154.0,4,1339.0499999999995,334.7624999999999,8.639032258064512,0,1
12649,106.0,8,2666.16,333.27,24.91738317757009,0,1
12650,2.0,1,484.8800000000002,484.8800000000002,161.62666666666675,0,1
12651,334.0,4,491.75000000000006,122.93750000000001,1.4679104477611942,0,1
12652,330.0,2,1685.01,842.505,5.090664652567976,0,1
12653,148.0,3,6370.680000000002,2123.560000000001,42.75624161073827,1,0
12654,10.0,5,1059.9600000000003,211.99200000000005,96.36000000000003,0,1
12655,423.0,1,243.35000000000002,243.35000000000002,0.5739386792452831,0,1
12656,16.0,8,9342.999999999998,1167.8749999999998,549.5882352941176,1,0
12657,10.0,4,2854.36,713.59,259.48727272727274,0,1
12658,18.0,1,1264.1,1264.1,66.53157894736842,0,1
12659,29.0,1,147.36,147.36,4.912000000000001,0,1
12660,10.0,1,454.2000000000001,454.2000000000001,41.2909090909091,0,1
12661,435.0,1,162.00000000000003,162.00000000000003,0.371559633027523,0,1
12662,0.0,20,9674.320000000029,483.71600000000143,9674.320000000029,1,0
12663,624.0,2,185.4,92.7,0.29664,0,1
12664,7.0,11,9811.920000000002,891.9927272727274,1226.4900000000002,1,0
12665,324.0,3,304.6,101.53333333333335,0.9372307692307693,0,1
12666,393.0,1,1248.4199999999998,1248.4199999999998,3.168578680203045,0,1
12667,57.0,1,920.2600000000003,920.2600000000003,15.866551724137937,0,1
12668,11.0,9,13083.179999999982,1453.6866666666647,1090.2649999999985,1,0
12669,150.0,3,5128.060000000005,1709.353333333335,33.96066225165566,1,0
12670,9.0,7,6180.340000000004,882.9057142857148,618.0340000000003,1,0
12671,605.0,1,2622.4810000000007,2622.4810000000007,4.327526402640265,0,1
12672,329.0,2,632.9499999999999,316.47499999999997,1.9180303030303028,0,1
12673,4.0,3,1714.54,571.5133333333333,342.908,0,1
12674,38.0,4,3689.1999999999985,922.2999999999996,94.59487179487175,1,0
12675,553.0,2,873.2500000000001,436.62500000000006,1.5762635379061374,0,1
12676,24.0,10,3424.4800000000005,342.44800000000004,136.97920000000002,1,0
12677,554.0,2,359.1,179.55,0.6470270270270271,0,1
12678,41.0,17,49336.639999999985,2902.155294117646,1174.6819047619044,1,-1
12679,58.0,4,1902.0399999999997,475.50999999999993,32.23796610169491,0,1
12680,0.0,4,1581.619999999999,395.40499999999975,1581.619999999999,0,1
12681,14.0,44,39302.300000000054,893.2340909090922,2620.153333333337,1,-1
12682,3.0,51,31756.039999999928,622.6674509803908,7939.009999999982,1,-1
12683,3.0,20,18058.26999999998,902.913499999999,4514.567499999995,1,0
12684,7.0,7,4207.259999999998,601.0371428571426,525.9074999999998,1,0
12685,27.0,6,5150.160000000002,858.3600000000002,183.93428571428578,1,0
12686,371.0,1,142.28,142.28,0.38247311827956987,0,1
12687,480.0,1,1858.910000000001,1858.910000000001,3.8646777546777566,0,1
12688,113.0,1,9747.619999999995,9747.619999999995,85.50543859649119,1,-1
12689,25.0,2,2279.2199999999984,1139.6099999999992,87.66230769230764,0,1
12690,205.0,1,670.0199999999999,670.0199999999999,3.2525242718446594,0,1
12691,27.0,6,1972.1999999999994,328.6999999999999,70.43571428571427,0,1
12692,636.0,1,110.95,110.95,0.17417582417582417,0,1
12693,126.0,7,2126.93,303.84714285714284,16.74748031496063,0,1
12694,69.0,3,2425.0200000000004,808.3400000000001,34.64314285714286,0,1
12695,6.0,7,1953.2199999999996,279.03142857142853,279.03142857142853,0,1
12696,434.0,2,731.91,365.955,1.6825517241379309,0,1
12697,28.0,3,1515.1799999999996,505.0599999999999,52.247586206896536,0,1
12698,589.0,1,285.75,285.75,0.4843220338983051,0,1
12699,417.0,1,566.11,566.11,1.3543301435406698,0,1
12700,7.0,4,9051.98000000001,2262.9950000000026,1131.4975000000013,1,0
12701,79.0,6,2974.119999999999,495.6866666666665,37.17649999999999,0,1
12702,19.0,1,402.0,402.0,20.1,0,1
12703,70.0,4,1164.0800000000002,291.02000000000004,16.39549295774648,0,1
12704,6.0,8,3481.6800000000003,435.21000000000004,497.3828571428572,1,0
12705,14.0,13,17496.38999999995,1345.87615384615,1166.4259999999965,1,0
12707,291.0,1,1206.8399999999997,1206.8399999999997,4.133013698630136,0,1
12708,29.0,18,7002.5699999999915,389.0316666666662,233.41899999999973,1,0
12709,14.0,33,38972.28,1180.9781818181818,2598.152,1,0
12710,96.0,3,2046.0400000000006,682.0133333333335,21.093195876288668,0,1
12711,611.0,2,1213.0499999999997,606.5249999999999,1.9821078431372545,0,1
12712,28.0,21,9913.160000000013,472.0552380952387,341.8331034482763,1,0
12713,0.0,1,1589.1,1589.1,1589.1,0,1
12714,8.0,12,17110.57000000002,1425.8808333333352,1901.1744444444469,1,0
12715,105.0,1,526.72,526.72,4.969056603773585,0,1
12716,3.0,2,1926.9799999999996,963.4899999999998,481.7449999999999,0,1
12717,150.0,3,1889.8900000000012,629.9633333333337,12.515827814569544,0,1
12718,70.0,1,404.50000000000006,404.50000000000006,5.69718309859155,0,1
12719,4.0,2,1145.9,572.95,229.18,0,1
12720,2.0,29,12021.010000000007,414.5175862068968,4007.003333333336,1,0
12721,31.0,8,6021.2100000000055,752.6512500000007,188.16281250000017,1,0
12722,84.0,4,1959.260000000001,489.8150000000002,23.050117647058833,0,1
12723,3.0,5,1414.1399999999994,282.82799999999986,353.53499999999985,0,1
12724,4.0,7,3006.9300000000007,429.5614285714287,601.3860000000002,0,1
12725,370.0,3,2278.56,759.52,6.1416711590296496,0,1
12726,27.0,11,6101.699999999993,554.6999999999994,217.91785714285692,1,0
12727,10.0,10,8346.229999999992,834.6229999999993,758.7481818181811,1,0
12728,70.0,5,1654.4999999999993,330.89999999999986,23.30281690140844,0,1
12729,113.0,1,834.0200000000001,834.0200000000001,7.315964912280703,0,1
12730,521.0,1,703.25,703.25,1.3472222222222223,0,1
12731,23.0,17,44383.620000000046,2610.801176470591,1849.317500000002,1,-1
12732,179.0,1,436.52,436.52,2.425111111111111,0,1
12733,233.0,4,2808.820000000001,702.2050000000003,12.003504273504278,0,1
12734,352.0,3,714.0499999999997,238.01666666666657,2.022804532577903,0,1
12735,314.0,2,1379.1399999999996,689.5699999999998,4.378222222222221,0,1
12736,332.0,1,288.0,288.0,0.8648648648648649,0,1
12737,498.0,2,3710.5,1855.25,7.435871743486974,1,0
